Tên điện thoại,Màn hình rộng:,Chuẩn màn hình:,Camera sau,Camera trước,Hệ điều hành:,Chip xử lý (CPU):,RAM:,Dung lượng lưu trữ:,Dung lượng pin:,SIM:,Độ phân giải:,Giá tiền,Link
vivo Y35,"6.58"" - Tần số quét 90 Hz",IPS LCD,"{'Độ phân giải:': 'Chính 50 MP & Phụ 2 MP, 2 MP', 'Quay phim:': 'HD 720p@60fpsHD 720p@30fpsFullHD 1080p@30fps', 'Đèn Flash:': 'Đèn LED kép', 'Tính năng:': 'Zoom kỹ thuật sốXóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Siêu độ phân giảiSiêu cận (Macro)Quay chậm (Slow Motion)Phơi sáng kép                                                    Live Photo                                                    Hiệu ứng BokehHDRChụp bằng giọng nóiChụp bằng cử chỉChống rung điện tử kỹ thuật số (EIS)Chuyên nghiệp (Pro)Bộ lọc màu                                                    AI Camera'}","{'Độ phân giải:': '16 MP', 'Tính năng:': 'Xóa phôngQuay video HDQuay video Full HDPhơi sáng kép                                                    Làm đẹpLive Photo                                                    HDRChụp bằng cử chỉBộ lọc màu                                                    A.I Camera'}",Android 12,Snapdragon 680 8 nhân,8 GB,128 GB,5000 mAh,2 Nano SIM,Full HD+ (1080 x 2408 Pixels),6.990.000₫,https://www.thegioididong.com/dtdd/vivo-y35-2022?utm_flashsale=1
OPPO A77s,"6.56"" - Tần số quét 90 Hz",IPS LCD,"{'Độ phân giải:': 'Chính 50 MP & Phụ 2 MP', 'Quay phim:': 'HD 720p@30fpsFullHD 1080p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Điều chỉnh khẩu độZoom kỹ thuật sốXóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Siêu độ phân giảiQuay chậm (Slow Motion)Nhãn dán (AR Stickers)Làm đẹpHDRGoogle LensChụp bằng cử chỉChuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)AI Camera'}","{'Độ phân giải:': '8 MP', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Quay video HDQuay video Full HDNhãn dán (AR Stickers)Làm đẹpHDRChụp đêmChụp bằng cử chỉBộ lọc màu'}",Android 12,Snapdragon 680 8 nhân,8 GB,128 GB,5000 mAh,2 Nano SIM,HD+ (720 x 1612 Pixels),5.590.000₫,https://www.thegioididong.com/dtdd/oppo-a77s
Samsung Galaxy A24,"6.5"" - Tần số quét 90 Hz",Super AMOLED,"{'Độ phân giải:': 'Chính 50 MP & Phụ 5 MP, 2 MP', 'Quay phim:': 'FullHD 1080p@60fpsFullHD 1080p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom quang họcTự động lấy nét (AF)Trôi nhanh thời gian (Time Lapse)Siêu cận (Macro)Làm đẹpHDRGóc siêu rộng (Ultrawide)Chống rung quang học (OIS)AI Camera'}","{'Độ phân giải:': '13 MP', 'Tính năng:': 'Làm đẹpGóc rộng (Wide)'}",Android 13,MediaTek Helio G99 8 nhân,8 GB,128 GB,5000 mAh,2 Nano SIM,Full HD+ (1080 x 2340 Pixels),4.990.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-a24-8gb
Samsung Galaxy A05s,"6.7"" - Tần số quét 90 Hz",PLS LCD,"{'Độ phân giải:': 'Chính 50 MP & Phụ 2 MP, 2 MP', 'Quay phim:': 'HD 720p@120fpsFullHD 1080p@60fpsFullHD 1080p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom quang họcZoom kỹ thuật sốXóa phôngTự động lấy nét (AF)Trôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Siêu cận (Macro)Quay chậm (Slow Motion)Làm đẹpHDRChụp hẹn giờ                                                    Chuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': '13 MP', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Quay video HDQuay video Full HDLàm đẹpHDRGóc siêu rộng (Ultrawide)                                                    Góc rộng (Wide)Chụp đêmChụp hẹn giờ                                                    Bộ lọc màu'}",Android 13,Snapdragon 680 8 nhân,6 GB,128 GB,5000 mAh,2 Nano SIM,Full HD+ (1080 x 2400 Pixels),4.190.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-a05s-6gb
Samsung Galaxy A14 5G,"6.6"" - Tần số quét 90 Hz",PLS LCD,"{'Độ phân giải:': 'Chính 50 MP & Phụ 2 MP, 2 MP', 'Quay phim:': 'HD 720p@30fpsFullHD 1080p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Xóa phôngToàn cảnh (Panorama)Siêu độ phân giảiSiêu cận (Macro)Quay chậm (Slow Motion)Nhãn dán (AR Stickers)Làm đẹpHDRChuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': '13 MP', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Quay video HDQuay video Full HDLàm đẹpGóc rộng (Wide)Chụp đêmBộ lọc màu'}",Android 13,MediaTek Dimensity 700 5G 8 nhân,4 GB,128 GB,5000 mAh,2 Nano SIM,Full HD+ (1080 x 2408 Pixels),3.790.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-a14-5g
Xiaomi Redmi 12,"6.79"" - Tần số quét 90 Hz",IPS LCD,"{'Độ phân giải:': 'Chính 50 MP & Phụ 8 MP, 2 MP', 'Quay phim:': 'HD 720p@30fpsFullHD 1080p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom kỹ thuật sốXóa phôngTrôi nhanh thời gian (Time Lapse)Siêu độ phân giảiSiêu cận (Macro)Làm đẹpHDRGóc siêu rộng (Ultrawide)Google LensChuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': '8 MP', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Quay video HDQuay video Full HDLàm đẹpBộ lọc màu'}",Android 13,MediaTek Helio G88 8 nhân,8 GB,128 GB,5000 mAh,2 Nano SIM (SIM 2 chung khe thẻ nhớ),Full HD+ (1080 x 2460 Pixels),3.790.000₫,https://www.thegioididong.com/dtdd/xiaomi-redmi-12?utm_flashsale=1
Samsung Galaxy A05,"6.7"" - Tần số quét 60 Hz",PLS LCD,"{'Độ phân giải:': 'Chính 50 MP & Phụ 2 MP', 'Quay phim:': 'HD 720p@120fpsFullHD 1080p@60fpsFullHD 1080p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Xóa phôngTự động lấy nét (AF)Trôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Quay chậm (Slow Motion)Làm đẹpChụp hẹn giờ                                                    Chuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': '8 MP', 'Tính năng:': 'Làm đẹpBộ lọc màu'}",Android 13,MediaTek Helio G85 8 nhân,4 GB,128 GB,5000 mAh,2 Nano SIM,HD+ (720 x 1600 Pixels),3.090.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-a05-4gb
OPPO A17,"6.56"" - Tần số quét 60 Hz",IPS LCD,"{'Độ phân giải:': 'Chính 50 MP & Phụ 0.3 MP', 'Quay phim:': 'HD 720p@30fpsFullHD 1080p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom kỹ thuật sốTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Nhãn dán (AR Stickers)Làm đẹpHDRGoogle LensChụp bằng cử chỉChuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)AI Camera'}","{'Độ phân giải:': '5 MP', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Quay video HDQuay video Full HDNhãn dán (AR Stickers)Làm đẹpHDRBộ lọc màu'}",Android 12,MediaTek Helio G35 8 nhân,4 GB,64 GB,5000 mAh,2 Nano SIM,HD+ (720 x 1612 Pixels),3.490.000₫,https://www.thegioididong.com/dtdd/oppo-a17?utm_flashsale=1
realme C51,"6.74"" - Tần số quét 90 Hz",IPS LCD,"{'Độ phân giải:': 'Chính 50 MP & Phụ 0.3 MP', 'Quay phim:': 'HD 720p@30fpsFullHD 1080p@30fps480p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Siêu độ phân giảiQuay chậm (Slow Motion)Làm đẹpHDRGoogle LensChuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': '5 MP', 'Tính năng:': 'Xóa phôngQuay video HDQuay video CIF                                                    Nhận diện khuôn mặtLàm đẹpHiệu ứng Bokeh                                                    HDRChụp bằng cử chỉBộ lọc màu'}",Android 13,Unisoc Tiger T612,4 GB,64 GB,5000 mAh,2 Nano SIM,HD+ (720 x 1600 Pixels),2.990.000₫ *,https://www.thegioididong.com/dtdd/realme-c51
Xiaomi Redmi 13C,"6.74"" - Tần số quét 90 Hz",IPS LCD,"{'Độ phân giải:': 'Chính 50 MP & Phụ 2 MP', 'Quay phim:': 'HD 720p@30fpsFullHD 1080p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom kỹ thuật sốXóa phôngTự động lấy nét (AF)Trôi nhanh thời gian (Time Lapse)Siêu độ phân giảiSiêu cận (Macro)Làm đẹpHDRGoogle LensChụp hẹn giờ                                                    Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': '8 MP', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Quay video HDQuay video Full HDLàm đẹpHDRFlash màn hìnhChụp hẹn giờ                                                    Bộ lọc màu'}",Android 13,MediaTek Helio G85 8 nhân,6 GB,128 GB,5000 mAh,2 Nano SIM,HD+ (720 x 1600 Pixels),3.290.000₫,https://www.thegioididong.com/dtdd/xiaomi-redmi-13c-6gb
OPPO A17K,"6.56"" - Tần số quét 60 Hz",IPS LCD,"{'Độ phân giải:': '8 MP', 'Quay phim:': 'HD 720p@30fpsFullHD 1080p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom kỹ thuật sốTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Làm đẹpHDRChuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)AI Camera'}","{'Độ phân giải:': '5 MP', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Quay video HDQuay video Full HDLàm đẹp A.I'}",Android 12,MediaTek Helio G35 8 nhân,3 GB,64 GB,5000 mAh,2 Nano SIM,HD+ (720 x 1612 Pixels),2.790.000₫,https://www.thegioididong.com/dtdd/oppo-a17k
vivo Y02T,"6.51"" - Tần số quét 60 Hz",IPS LCD,"{'Độ phân giải:': '8 MP', 'Quay phim:': 'HD 720p@30fpsFullHD 1080p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom kỹ thuật sốXóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Quét tài liệu                                                    Làm đẹpLive Photo                                                    HDRChuyên nghiệp (Pro)Bộ lọc màu'}","{'Độ phân giải:': '5 MP', 'Tính năng:': 'Xóa phôngQuay video HDQuay video Full HDLàm đẹpHDRFlash màn hình'}",Android 13 (Go Edition),MediaTek Helio P35 8 nhân,4 GB,64 GB,5000 mAh,2 Nano SIM,HD+ (720 x 1600 Pixels),2.790.000₫ *,https://www.thegioididong.com/dtdd/vivo-y02t
realme C60,"6.74"" - Tần số quét 90 Hz",IPS LCD,"{'Độ phân giải:': 'Chính 13 MP & Phụ 0.08 MP', 'Quay phim:': 'HD 720p@30fpsFullHD 1080p@30fps480p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)HDRChuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': '5 MP', 'Tính năng:': 'Xóa phôngLàm đẹpHDRBộ lọc màu'}",Android 13,Unisoc Tiger T612,4 GB,64 GB,5000 mAh,2 Nano SIM,HD+ (720 x 1600 Pixels),2.790.000₫,https://www.thegioididong.com/dtdd/realme-c60
Samsung Galaxy A04 (4GB/64GB),"6.5"" - Tần số quét 60 Hz",IPS LCD,"{'Độ phân giải:': 'Chính 50 MP & Phụ 2 MP', 'Quay phim:': 'HD 720p@30fpsFullHD 1080p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom kỹ thuật sốXóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Làm đẹpHDRChuyên nghiệp (Pro)Bộ lọc màu'}","{'Độ phân giải:': '5 MP', 'Tính năng:': 'Xóa phôngQuay video HDQuay video Full HDLàm đẹpBộ lọc màu'}",Android 12,MediaTek Helio P35 8 nhân,4 GB,64 GB,5000 mAh,2 Nano SIM,HD+ (720 x 1600 Pixels),2.690.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-a04-4gb-64gb
Samsung Galaxy A04s,"6.5"" - Tần số quét 90 Hz",IPS LCD,"{'Độ phân giải:': 'Chính 50 MP & Phụ 2 MP, 2 MP', 'Quay phim:': 'HD 720p@30fpsFullHD 1080p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom kỹ thuật sốXóa phôngTự động lấy nét (AF)Toàn cảnh (Panorama)Siêu độ phân giảiSiêu cận (Macro)Làm đẹpHDRChuyên nghiệp (Pro)Bộ lọc màu'}","{'Độ phân giải:': '5 MP', 'Tính năng:': 'Xóa phôngQuay video HDQuay video Full HDLàm đẹpGóc rộng (Wide)Flash màn hìnhBộ lọc màu'}",Android 12,Exynos 850 8 nhân,4 GB,64 GB,5000 mAh,2 Nano SIM,HD+ (720 x 1600 Pixels),,https://www.thegioididong.com/dtdd/samsung-galaxy-a04s
Xiaomi Redmi A2 series,"6.52"" - Tần số quét 60 Hz",IPS LCD,"{'Độ phân giải:': 'Chính 8 MP & Phụ QVGA (248 x 328 Pixels)', 'Quay phim:': 'HD 720p@30fpsFullHD 1080p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom kỹ thuật sốXóa phôngTrôi nhanh thời gian (Time Lapse)HDRAI Camera'}","{'Độ phân giải:': '5 MP', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Quay video HDQuay video Full HDLàm đẹpHDR'}",Android 13 (Go Edition),MediaTek Helio G36 8 nhân,2 GB,32 GB,5000 mAh,2 Nano SIM,HD+ (720 x 1600 Pixels),1.990.000₫,https://www.thegioididong.com/dtdd/xiaomi-redmi-a2
Itel L6502,"6.52"" - Tần số quét Hãng không công bố",IPS LCD,"{'Độ phân giải:': 'Chính 8 MP & Phụ VGA, VGA', 'Quay phim:': 'HD 720p@24fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom kỹ thuật sốTự động lấy nét (AF)Làm đẹp (Beautify)HDRChạm lấy nét'}",{'Độ phân giải:': '5 MP'},Android 10 (Go Edition),Spreadtrum SC9832E 4 nhân,3 GB,32 GB,4000 mAh,2 Nano SIM,HD+ (720 x 1600 Pixels),1.690.000₫,https://www.thegioididong.com/dtdd/itel-l6502
Nokia 8210 4G,"2.8""",,"{'Độ phân giải:': '0.3 MP', 'Quay phim:': 'VGA'}",,Series 30+,Unisoc T107,48 MB,128 MB,1450 mAh,2 Nano SIM,QVGA (240 x 320 Pixels),1.590.000₫,https://www.thegioididong.com/dtdd/nokia-8210-4g
Nokia 215 4G,"2.4""",TFT LCD,,,Series 30+,Unisoc UMS9117,64 MB,128 MB,1150 mAh,2 Nano SIM,QVGA (240 x 320 Pixels),990.000₫,https://www.thegioididong.com/dtdd/nokia-215
Mobell F309 4G,"2.31""",TFT LCD,{'Độ phân giải:': '0.08 MP'},,,Unisoc T107,48 MB,128 MB,1600 mAh,2 Nano SIM,QVGA (240 x 320 Pixels),760.000₫,https://www.thegioididong.com/dtdd/mobell-f309
Nokia 110 4G Pro,"1.77""",IPS LCD,{'Độ phân giải:': 'QVGA (320 x 240 pixels)'},,Series 30+,Unisoc T107,48 MB,128 MB,1450 mAh,2 Nano SIM,QQVGA (120 x 160 Pixels),720.000₫,https://www.thegioididong.com/dtdd/nokia-110-4g-pro
Masstel FAMI 60 4G,"2""",TFT LCD,,,,Unisoc UIS8910,16 MB,24 MB,2000 mAh,2 Nano SIM,QVGA (176 x 220 Pixels),700.000₫,https://www.thegioididong.com/dtdd/masstel-fami-60
Mobell Rock 4 4G,"2.4""",TFT LCD,,,,Unisoc T107,48 MB,128 MB,3250 mAh,2 Nano SIM,QVGA (240 x 320 Pixels),690.000₫,https://www.thegioididong.com/dtdd/mobell-rock-4
Nokia 105 4G Pro,"1.77""",IPS LCD,,,Series 30+,Unisoc T107,48 MB,128 MB,1450 mAh,2 Nano SIM,QQVGA (120 x 160 Pixels),680.000₫,https://www.thegioididong.com/dtdd/nokia-105-4g-pro
Nokia 105,"1.8""",TFT LCD,,,Series 30+,Unisoc T107,48 MB,128 MB,1020 mAh,2 Nano SIM,QQVGA (120 x 160 Pixels),650.000₫,https://www.thegioididong.com/dtdd/nokia-105-4g
Mobell M539 4G,"2.8""",TFT LCD,"{'Độ phân giải:': '0.08 MP', 'Quay phim:': 'Có quay phim'}",,,Unisoc T107,48 MB,128 MB,2000 mAh,2 Nano SIM,QVGA (240 x 320 Pixels),640.000₫,https://www.thegioididong.com/dtdd/mobell-m539
Mobell F209 4G,"2""",TFT LCD,,,,Unisoc T107,48 MB,128 MB,1500 mAh,2 Nano SIM,QVGA (176 x 220 Pixels),620.000₫,https://www.thegioididong.com/dtdd/mobell-f209
Itel it9210,"2.4""",LCD,"{'Độ phân giải:': '0.3 MP', 'Quay phim:': 'Có quay phim', 'Đèn Flash:': 'Có'}",,,,64 MB,128 MB,1900 mAh,2 Micro SIM,QVGA (240 x 320 Pixels),550.000₫,https://www.thegioididong.com/dtdd/itel-it9210
Masstel Lux 20,"2.4""",TFT LCD,,,,Unisoc T107,48 MB,128 MB,1800 mAh,2 Nano SIM,QVGA (240 x 320 Pixels),500.000₫,https://www.thegioididong.com/dtdd/masstel-lux-20
Masstel Lux 10,"2.4""",TFT LCD,,,,Unisoc T107,48 MB,128 MB,1400 mAh,2 Nano SIM,QVGA (240 x 320 Pixels),500.000₫,https://www.thegioididong.com/dtdd/masstel-lux-10
Mobell M331 4G,"2.4""",TFT LCD,{'Độ phân giải:': '0.8 MP'},,,Unisoc T107,48 MB,128 MB,1000 mAh,2 Nano SIM,QVGA (240 x 320 Pixels),500.000₫,https://www.thegioididong.com/dtdd/mobell-m331
Masstel IZI 26,"2.4""",TFT LCD,,,,Unisoc T107,48 MB,128 MB,1800 mAh,2 Nano SIM,QVGA (240 x 320 Pixels),450.000₫,https://www.thegioididong.com/dtdd/masstel-izi-26
Itel it9010,"1.77""",LCD,{'Độ phân giải:': '0.08 MP'},,,,48 MB,128 MB,1000 mAh,2 Micro SIM,QQVGA (128 x 160 Pixels),420.000₫,https://www.thegioididong.com/dtdd/itel-it9010
Masstel IZI 10 4G,"1.77""",TFT LCD,,,,Unisoc UMS9117,48 MB,128 MB,1000 mAh,2 Nano SIM,QQVGA (128 x 160 Pixels),400.000₫,https://www.thegioididong.com/dtdd/masstel-izi-10
Mobell M239,"1.77""",TFT LCD,"{'Độ phân giải:': '8 MP', 'Quay phim:': 'Có quay phim'}",,,Unisoc UMS9117-L,48 MB,128 MB,1000 mAh,2 Nano SIM,QQVGA (128 x 160 Pixels),390.000₫,https://www.thegioididong.com/dtdd/mobell-m239
Xiaomi Redmi A3,"6.71"" - Tần số quét 90 Hz",IPS LCD,"{'Độ phân giải:': 'Chính 8 MP & Phụ 0.08 MP', 'Quay phim:': 'HD 720p@30fpsFullHD 1080p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom kỹ thuật sốXóa phôngTrôi nhanh thời gian (Time Lapse)HDRAI Camera'}","{'Độ phân giải:': '5 MP', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Quay video Full HDLàm đẹpFlash màn hình'}",Android 14,MediaTek Helio G36 8 nhân,3 GB,64 GB,5000 mAh,2 Nano SIM,HD+ (720 x 1650 Pixels),,https://www.thegioididong.com/dtdd/xiaomi-redmi-a3
